Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,Lake name,Lake type,Longitude,Latitude,River,Outburst mechanism
Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02480,RGI60-16.02480,Rajururi,moraine,-77.681111,-9.062778,,breach
Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
Andes,Southern Andes,C Andes,Chile,Gl. Cachapoal,RGI60-17.13403,,ice,-70.08,-34.37,,
Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02264,RGI60-16.02264,Rajucolta,moraine,-77.342892,-9.523094,,breach
Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
Andes,Southern Andes,Patagonia,Argentina,Glaciar Piedras Blancas,RGI60-17.05091,,moraine,-72.968,-49.263,Río Blanco,
Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
