Lake ID,Region,Major RGI region,Mountain range region,Country,Glacier,RGI glacier ID,Lake name,Lake type,Longitude,Latitude,River,Outburst mechanism
1,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02480,RGI60-16.02480,Rajururi,moraine,-77.681111,-9.062778,,breach
2,Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
3,Andes,Southern Andes,C Andes,Chile,Gl. Cachapoal,RGI60-17.13403,,ice,-70.08,-34.37,,
4,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
5,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02264,RGI60-16.02264,Rajucolta,moraine,-77.342892,-9.523094,,breach
6,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
7,Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
8,Andes,Southern Andes,Patagonia,Argentina,Glaciar Piedras Blancas,RGI60-17.05091,,moraine,-72.968,-49.263,Río Blanco,
9,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
10,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
11,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
12,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
13,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
14,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
15,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
16,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
17,Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
18,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
19,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
20,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
21,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
22,Andes,Southern Andes,Patagonia,Chile,Pio XI Glacier,RGI60-17.05181,Lago Greve,ice,-73.96,-49.03,,
23,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
24,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
25,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
26,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01875,RGI60-16.01875,Solteracocha,moraine,-76.9379,-10.2333,,breach
27,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
28,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
29,Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
30,Andes,Southern Andes,C Andes,Argentina,Gl. Grande del Nevado del Plomo,RGI60-17.14046,,ice,-69.98,-33.12,Plomo,
31,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
32,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
33,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
34,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
35,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
36,Andes,Low Latitudes,Low-latitude Andes,Peru,Pacllashcocha,RGI60-16.02383,Artesa,moraine,-77.515556,-9.113889,,breach
37,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
38,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02367,RGI60-16.02367,Unnamed (Q. Ulta),moraine,-77.5125,-9.122778,,breach
39,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
40,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
41,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
42,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01876,RGI60-16.01876,Rurigallay,moraine,-76.9063,-10.3171,,breach
43,Andes,Low Latitudes,Low-latitude Andes,Peru,Palcaraju,RGI60-16.02263,"Broggi, J. A. (1942). Informe preliminar sobre la exploracion y estudio de las condiciones de estabilidad de las lagunas de la Cordillera Blanca. ELECTROPERU SA, Lima (Peru). & Oppenheim, V. (1946). Sobre las lagunas de Huaráz. Boletín de la Sociedad geológica del Perú, 19, 68-80. & Zapata L, M. (2002). La dinamica glaciar en lagunas de la Cordillera Blanca. Acta Montana, 123, 37-60. CITED IN Emmer, A. (2017). Geomorphologically effective floods from moraine-dammed lakes in the Cordillera Blanca, Peru. Quaternary Science Reviews, 177, 220-234.; Emmer, A., Wood, J. L., Cook, S. J., Harrison, S., Wilson, R., Diaz-Moreno, A., ... & Poma, C. (2021). 160 glacial lake outburst floods (GLOFs) across the Tropical Andes since the Little Ice Age. Global and Planetary Change, 103722.",moraine,-77.377996,-9.394384,,breach
44,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.00332,RGI60-16.00332,,moraine,-72.07684115,-13.22302644,,
45,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
46,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
47,Andes,Southern Andes,C Andes,Argentina,Frías,RGI60-17.12375,,moraine,-71.8,-41.13333333,,
48,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
49,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
50,Andes,Southern Andes,Patagonia,Chile,Lucia Glacier,RGI60-17.06008,Bergues Lake,moraine,-73.280522,-48.323889,Pascua,
51,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
52,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02457,RGI60-16.02457,Chacrucocha,moraine,-77.645278,-8.990833,,breach
53,Andes,Low Latitudes,Low-latitude Andes,Peru,Huantsan,RGI60-16.02260,Ayhuinyaraju,moraine,-77.286389,-9.514722,,breach
54,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
55,Andes,Southern Andes,Patagonia,Chile,Hernando Lamero,RGI60-17.04837,,ice,-73.554068,-51.310282,,
56,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
57,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
58,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02207,RGI60-16.02207,,moraine,-77.35712889,-9.4931159,,breach
59,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02197,RGI60-16.02197,,moraine,-77.35394849,-9.41078674,,breach
60,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02262,RGI60-16.02262,,moraine,-77.29156605,-9.3841444,,breach
61,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02457,RGI60-16.02457,,moraine,-77.64269628,-8.98733321,,overtopping
62,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02452,RGI60-16.02452,,moraine,-77.69301467,-8.98901815,,overtopping
63,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02448,RGI60-16.02448,,moraine,-77.68146479,-8.98091211,,overtopping
64,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02309,RGI60-16.02309,,moraine,-77.49436664,-9.19726316,,breach
65,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02183,RGI60-16.02183,,moraine,-77.32095358,-9.44667471,,overtopping
66,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02181,RGI60-16.02181,,moraine,-77.30149437,-9.48338028,,breach
67,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02416,RGI60-16.02416,Pag Pag,moraine,-77.555556,-9.067778,,breach
68,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02421,RGI60-16.02421,Yanapaccha,moraine,-77.593611,-9.03,,overtopping
69,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02592,RGI60-16.02592,Champará,moraine,-77.793953,-8.673709,,breach
70,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.02517,RGI60-16.02517,,moraine,-77.71579174,-8.8424808,,
71,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
72,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
73,Andes,Southern Andes,Patagonia,Argentina,Gl. Perito Moreno,RGI60-17.00312,Lago Argentino,ice,-72.98,-50.5,Santa Cruz,tunneling and collapse
74,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01891,RGI60-16.01891,Juraucocha,moraine,-76.8967,-10.3358,,breach
75,Andes,Low Latitudes,Low-latitude Andes,Peru,RGI60-16.01909,RGI60-16.01909,Sarapococha,moraine,-76.9134,-10.3122,,breach
76,Andes,Southern Andes,Patagonia,Chile,Colonia Glacier,RGI60-17.15859,Lago Arco,ice,-73.256578,-47.28773,Río Baker,subglacial
77,Andes,Low Latitudes,Low-latitude Andes,Peru,Kogan,RGI60-16.02539,Jancarurish,moraine,-77.673333,-8.857778,,breach
